course_run_key,reporting_type,announcement
course-v1:ACCA+FA1-MA1.X+1T2019,mooc,
course-v1:ACCA+FA1-MA1.X+1T2020,mooc,
course-v1:ACCA+FA1-MA1.X+2T2015,mooc,4/7/15
course-v1:ACCA+FA1-MA1.X+2T2016,mooc,1/19/16
course-v1:ACCA+FA1-MA1.X+2T2017,mooc,1/18/17
course-v1:ACCA+FA1-MA1.X+3T2016,mooc,4/11/16
course-v1:ACCA+FA1-MA1.X+4T2015,mooc,8/4/15
course-v1:ACCA+FA1-MA1.X+4T2016,mooc,7/11/16
course-v1:ACCA+FA2-MA2.X+1T2016,mooc,10/19/15
course-v1:ACCA+FA2-MA2.X+2T2015,mooc,4/7/15
course-v1:ACCA+FA2-MA2.X+2T2016,mooc,1/19/16
course-v1:ACCA+FA2-MA2.X+2T2017,mooc,1/18/17
course-v1:ACCA+FA2-MA2.X+3T2016,mooc,4/11/16
course-v1:ACCA+FA2-MA2.X+4T2015,mooc,8/4/15
course-v1:ACCA+FA2-MA2.X+4T2016,mooc,7/11/16
course-v1:ACCA+FAB-F1.x+1T2016,mooc,10/19/15
course-v1:ACCA+FAB-F1.x+2T2016,mooc,1/19/16
course-v1:ACCA+FAB-F1.x+2T2017,mooc,1/18/17
course-v1:ACCA+FAB-F1.x+3T2015,mooc,7/21/15
course-v1:ACCA+FAB-F1.x+3T2016,mooc,4/11/16
course-v1:ACCA+FAB-F1.x+4T2016,mooc,7/11/16
course-v1:ACCA+FFA-F3.x+1T2016,mooc,10/19/15
course-v1:ACCA+FFA-F3.x+2T2016,mooc,1/19/16
course-v1:ACCA+FFA-F3.x+2T2017,mooc,1/18/17
course-v1:ACCA+FFA-F3.x+3T2015,mooc,7/21/15
course-v1:ACCA+FFA-F3.x+3T2016,mooc,4/11/16
course-v1:ACCA+FFA-F3.x+4T2016,mooc,7/11/16
course-v1:ACCA+FMA-F2.x+1T2016,mooc,10/19/15
course-v1:ACCA+FMA-F2.x+1T2017,mooc,10/11/16
course-v1:ACCA+FMA-F2.x+2T2016,mooc,1/19/16
course-v1:ACCA+FMA-F2.x+2T2017,mooc,1/18/17
course-v1:ACCA+FMA-F2.x+3T2015,mooc,7/21/15
course-v1:ACCA+FMA-F2.x+3T2016,mooc,4/11/16
course-v1:ACCA+FMA-F2.x+4T2016,mooc,7/11/16
course-v1:AdelaideX+AddictionX+3T2015,mooc,7/13/15
course-v1:AdelaideX+AddictionX+3T2016,mooc,9/1/16
course-v1:AdelaideX+Code101x+2T2015,mooc,1/21/15
course-v1:AdelaideX+Code101x+2T2016,mooc,6/15/16
course-v1:AdelaideX+Code101x+3T2015,mooc,9/9/15
course-v1:AdelaideX+Cyber101x+1T2016,mooc,1/20/16
course-v1:AdelaideX+Cyber101x+2T2015,mooc,1/21/15
course-v1:AdelaideX+Data101x+1T2017,mooc,10/4/16
course-v1:AdelaideX+Entrep101X+1T2016,mooc,12/14/15
course-v1:AdelaideX+HumBio101x+1T2016,mooc,3/2/16
course-v1:AdelaideX+HumBio101x+2T2015,mooc,4/30/15
course-v1:AdelaideX+Lang101x+2T2015,mooc,3/24/15
course-v1:AdelaideX+Lang101x+3T2016,mooc,9/26/16
course-v1:AdelaideX+MusonicX+3T2015,mooc,3/31/16
course-v1:AdelaideX+Project101x+1T2016,mooc,6/30/15
course-v1:AdelaideX+Project101x+2T2016,mooc,5/19/16
course-v1:AdelaideX+Wine101x+1T2016,mooc,1/27/16
course-v1:AdelaideX+Wine101x+2T2015,mooc,1/14/15
course-v1:AdelaideX+Wine101x+2T2015.2,mooc,5/22/15
course-v1:AdelaideX+Wine101x+2T2016,mooc,8/18/16
course-v1:AmnestyInternationalX+Rights1x+4T2015,mooc,10/9/15
course-v1:AmnestyInternationalX+Rights2x+3T2016,mooc,9/7/16
course-v1:AmnestyInternationalX+Rights2xES+3T2016,mooc,9/8/16
course-v1:AmnestyInternationalX+Rights2xFR+3T2016,mooc,9/8/16
course-v1:ANUx+ANU-ActuarialX+1T2016,mooc,2/16/16
course-v1:ANUx+ANU-ActuarialX+3T2015,mooc,7/7/15
course-v1:ANUx+ANU-ActuarialX+4T2015,mooc,12/9/15
course-v1:ANUx+ANU-ASTRO1x+2T2015,mooc,3/23/15
course-v1:ANUx+ANU-ASTRO1x+2T2016,mooc,3/1/16
course-v1:ANUx+ANU-ASTRO1x+3T2015,mooc,9/6/15
course-v1:ANUx+ANU-ASTRO2x+2T2016,mooc,3/1/16
